ª›ÃﬂŸ:	'1_-3
Ãß≤Ÿñº:	1_-03.FD3
ï™êÕì˙éû:	'11:24:13, 11/26/2021
µÕﬂ⁄∞¿:	F-2700-USER
∫“›ƒ:	'

åıìxåv
”√ﬁŸ:	F-7100å`ï™åıåuåıåıìxåv
ºÿ±Ÿ No.:	2908-007
ROM Ver.:	5J14000 12

ëïíuèåè
ë™íË”∞ƒﬁ:	3éüå≥
√ﬁ∞¿”∞ƒﬁ:	åuåı
ó„ãNäJénîgí∑:	200.0 nm
ó„ãNèIóπîgí∑:	400.0 nm
ó„ãNë§ª›Ãﬂÿ›∏ﬁä‘äu:	10.0 nm
åuåıäJénîgí∑:	300.0 nm
åuåıèIóπîgí∑:	550.0 nm
åuåıë§ª›Ãﬂÿ›∏ﬁä‘äu:	2.0 nm
Ω∑¨›ΩÀﬂ∞ƒﬁ:	12000 nm/min
ó„ãNë§ΩÿØƒ:	5.0 nm
åuåıë§ΩÿØƒ:	5.0 nm
ŒƒœŸìdà≥:	400 V
⁄ΩŒﬂ›Ω:	é©ìÆ 
ΩÕﬂ∏ƒŸï‚ê≥:	On
º¨Ø¿êßå‰:	Off
ìôçÇê¸ä‘äu:	10.000

ëïíuä÷êî
ó„ãNë§(200Å`600nm)  ΩÿØƒÅF5.0/20.0nm  ŒƒœŸìdà≥ÅF400V
åuåıë§(200Å`600nm)  ΩÿØƒÅF5.0/20.0nm  ŒƒœŸìdà≥ÅF250V
åuåıë§(500Å`900nm)  ñ≥
ó„ãNë§(500Å`900nm)  ñ≥

åuåıã≠ìxïWèÄâª:	ON
ïWèÄééóøÃß≤Ÿñº:	STD_20211126_111042.FD3
ïWèÄééóø√ﬁ∞¿
EX:	340.0	nm
EM:	454.0	nm
Data:	28.57
îZìx:	100.000	FLU
ä∑éZåWêî:	3.499565

éwíËîgí∑
No.	EX/EM(nm)	çÇÇ≥(Data)	


√ﬁ∞¿ÿΩƒ
	200.000	210.000	220.000	230.000	240.000	250.000	260.000	270.000	280.000	290.000	300.000	310.000	320.000	330.000	340.000	350.000	360.000	370.000	380.000	390.000	400.000
300.0	11.30	11.94	17.44	11.84	3.831	2.880	3.614	27.20	4.694	2.497	166.0	0.123	0.047	0.031	0.011	0.019	0.012	0.011	0.006	0.014	0.004
302.0	9.592	13.53	20.48	14.22	4.214	3.502	4.232	19.27	7.322	2.276	165.1	2.510	0.059	0.029	0.021	0.024	0.007	0.013	0.005	0.009	0.008
304.0	9.616	12.75	20.35	14.34	4.992	3.808	4.947	13.34	11.59	2.439	109.1	14.91	0.072	0.035	0.020	0.020	0.008	0.014	0.006	0.008	0.008
306.0	10.45	15.73	21.05	16.15	5.443	4.529	5.327	9.726	19.81	2.833	43.14	62.14	0.097	0.052	0.022	0.027	0.016	0.014	0.012	0.016	0.009
308.0	8.759	15.01	22.37	17.78	6.125	4.902	5.812	8.565	27.97	3.009	12.24	134.7	0.091	0.032	0.025	0.025	0.014	0.010	0.013	0.008	0.006
310.0	14.01	17.53	21.57	16.89	6.649	5.287	6.336	9.073	33.41	3.558	3.315	195.7	0.236	0.040	0.034	0.022	0.014	0.008	0.016	0.011	0.011
312.0	14.49	16.50	21.96	17.13	6.906	5.606	6.969	9.056	31.68	4.282	1.914	184.2	2.330	0.050	0.041	0.030	0.021	0.013	0.015	0.015	0.013
314.0	11.91	18.07	24.01	18.34	7.618	6.175	7.392	9.458	24.17	5.926	1.828	113.8	16.13	0.071	0.043	0.027	0.016	0.017	0.010	0.014	0.013
316.0	12.09	15.92	20.46	18.92	7.877	6.610	7.660	9.748	17.16	10.21	2.107	46.32	59.80	0.072	0.039	0.030	0.012	0.019	0.013	0.013	0.010
318.0	10.56	17.68	21.93	18.69	8.226	6.939	8.059	10.47	12.59	17.32	2.325	12.48	132.0	0.093	0.043	0.030	0.019	0.013	0.011	0.011	0.017
320.0	11.53	18.95	24.76	21.49	8.642	7.040	8.177	10.78	11.63	25.42	2.772	3.388	184.9	0.232	0.039	0.030	0.021	0.015	0.008	0.014	0.015
